SCORING SYSTEM,,,,,
,,,,,
Scoring Event,Value / Multiplier,Trigger / Condition,Description,UI Flavor Text,Stacks / Resets
0-2 kills,1.0x,No streak bonus. Standard base hit value.,,,
3-4 kills,1.1x,Small streak warming up. +10% to Base Hit.,,,
5-7 kills,1.2x,Getting in the zone. +20% to Base Hit.,,"""WARMING UP""",
8-14 kills,1.35x,Solid streak. +35% to Base Hit.,,"""ON FIRE""",
15-24 kills,1.5x,Deep streak. +50% to Base Hit.,,"""UNSTOPPABLE""",
25+ kills,1.75x,Elite streak. +75% to Base Hit. Maximum multiplier.,,"""LEGEND MODE""",
,,,,,
?? MICRO-REWARDS & MILESTONES ??,,,,,
Calibration Bonus,50,Every 500 points earned within a depth rank.,Flat +50 bonus every 500 points to keep momentum between rank-ups. Prevents the grind feeling.,"""SYSTEMS CALIBRATED""",Repeatable within tier
Comeback Bonus,25,Destroy 3 creatures in a row after losing a hose segment.,Small reward for recovering after a segment loss. Encourages divers to keep fighting instead of giving up.,"""BACK ONLINE""",One-time per segment loss event
Speed Demon,0.15x,Target cleared within 1.5 seconds of appearing on screen.,15% bonus of Base Hit. Rewards lightning-fast sonar reactions regardless of screen position.,"""SPEED DEMON""","Per event, stacks with Perfect Shot"
First Blood,25,First creature destroyed in a dive session.,Small session-start bonus. Gets the adrenaline flowing immediately.,"""ONLINE""",Once per session
Rank-Up Bonus,Rank Base x 2,Diver reaches a new depth rank.,2x the new rank's Base Hit value as a one-time bonus. Celebrates the descent.,"""RANK UP!""",Once per rank transition
Near-Miss Save,15,Target destroyed in the bottom 10% of the screen (just before impact).,Flat +15 bonus. Clutch save reward. Adds tension in the dark.,"""CLOSE CALL!""",Per event
,,,,,
?? RULES & CODE NOTES ??,,,,,
Rule,Detail,,,,
Multiplier stacking,"Perfect Shot + Early Intercept + Speed Demon can all stack on one kill. Apply additively to Base Hit (e.g., 0.25 + 0.5 + 0.15 = 0.9x bonus).",,,,
Streak counter,Counts consecutive creature kills without a hose segment being severed. Breaking streak (segment severed) resets kill-streak counter to 0.,,,,
Streak forgiveness,1 backspace per target is allowed without breaking a Perfect Shot streak. 2+ backspaces on any single target breaks the streak.,,,,
Hose destruction counter,"Separate counter from kill-streak. Tracks consecutive segments severed. Resets to 0 whenever ANY creature is destroyed. Penalty = MIN(-300, (count - 1) * -100).",,,,
Penalty cap,No single event can deduct more than -300 points. Prevents death spirals at crushing depth.,,,,
Score floor,"Diver score cannot go below 0. If penalty would reduce score below 0, score is set to 0.",,,,
Bonus stacking order,"Base Hit = Apply multiplier bonuses (Perfect, Early, Speed) = Apply streak multiplier = Apply flat bonuses (milestone streaks) = Apply penalties.",,,,
